country_name,year,DM_age_15.19_p,DM_age_20.24_p,DM_age_25.29_p,DM_age_30.34_p,DM_age_35.39_p,DM_age_40.44_p,DM_age_45.49_p,DM_age_marr_mean,DM_age_mean,DM_born_rural_p,DM_marr_p,DM_nvr_marr_p,DM_urban_p,drought_spei03_n1_share12,drought_spei03_n1_share36,drought_spei03_n1_share60,drought_spei03_n1.5_share12,drought_spei03_n1.5_share36,drought_spei03_n1.5_share60,drought_spei03_n2_share12,drought_spei03_n2_share36,drought_spei03_n2_share60,ED_attainment_no_educ_p,ED_attainment_primary_completed_p,ED_attainment_primary_p,ED_attainment_secondary_completed_p,ED_attainment_secondary_higher_p,ED_attainment_secondary_p,ED_educ_years_mean,ED_litt_p,EI_elec_p,EI_fridge_p,EI_radio_p,EI_tv_p,EI_women_elec_p,EI_women_fridge_p,EI_women_radio_p,EI_women_tv_p,ER_elec_rural_p,ER_elec_urban_p,FF_ASFR_15.19,FF_ASFR_20.24,FF_ASFR_25.29,FF_ASFR_30.34,FF_ASFR_35.39,FF_ASFR_40.44,FF_ASFR_45.49,FF_ASFR_SE_15.19,FF_ASFR_SE_20.24,FF_ASFR_SE_25.29,FF_ASFR_SE_30.34,FF_ASFR_SE_35.39,FF_ASFR_SE_40.44,FF_ASFR_SE_45.49,FF_GFR,FF_TFR,FP_desired_mean,gdp_pc,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,hdi,HH_bicycle_p,HH_car_p,HH_floor_high_p,HH_floor_low_p,HH_motorcycle_p,HH_time_water_mean,HH_toilet_high_p,HH_toilet_low_p,HH_water_high_p,HH_water_low_p,HH_women_floor_high_p,HH_women_floor_low_p,HH_women_time_water_mean,HH_women_toilet_high_p,HH_women_toilet_low_p,HH_women_water_high_p,HH_women_water_low_p,HL_CMR,HL_IMR,HL_NNMR,HL_PNNMR,HL_U5MR,pre_max12,pre_max36,pre_max60,pre_mean12,pre_mean36,pre_mean60,pre_min12,pre_min36,pre_min60,pre_sum12,pre_sum36,pre_sum60,RH_age_first_birth_mean,RH_age_first_sex_mean,RH_children_born_mean,RH_children_living_mean,RH_contr_modern_know_p,RH_contr_modern_p,RH_contr_p,tmp_max12,tmp_max36,tmp_max60,tmp_mean12,tmp_mean36,tmp_mean60,tmp_min12,tmp_min36,tmp_min60,WK_working_p,WL_wealth_gini,WL_wealth_mean,WL_wealth_median,FP_desired_daugh_mean,FP_desired_sons_mean,RH_family_planning_mobile_p,RH_family_planning_radio_p,RH_family_planning_tv_p,WK_working_agri_p,RH_family_planning_news_p,WK_working12_p,DM_age_diff_0_p,DM_age_diff_10plus_p,DM_age_diff_5_9_p,DM_age_diff_5minus_p,DM_age_diff_mean,EI_telephone_p,EI_women_telephone_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_money_p,DP_decide_visits_p,EI_modern_cooking_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,EI_women_modern_cooking_p,HL_smoke_cig_p,HL_smoke_p,WK_working_paid_p,HL_number_cigarettes_mean,HL_smoke10_p,HL_smoke15_p,HL_smoke5_p,NT_women_anemia_any_p,DV_phys_12m_p,DV_phys_or_sex_partner_12m_p,DV_phys_or_sex_partner_p,DV_phys_p,DV_phys_partner_12m_p,DV_phys_partner_p,DV_sex_12m_p,DV_sex_p,DV_sex_partner_12m_p,DV_sex_partner_p,ED_litt_whole_p,DP_earn_more_equal_p,DP_earn_more_p,HL_health_insur_p,HH_watch_p,DP_owns_house_p,DP_owns_land_p,DP_decide_contraception_p,EI_computer_p,DP_decide_no_contraception_p,EI_internet_day_p,EI_internet_week_p,EI_mobile_p
Kenya,2007,21.19,20.23,17.61,13.97,10.68,8.96,7.36,18.99,28.32,75.25,59.88,30.12,30.14,0.20,0.14,0.20,0.07,0.05,0.07,0.03,0.01,0.01,17.25,23.77,50.66,13.49,32.10,24.61,7.17,76.97,23.76,6.98,69.83,26.78,24.79,8.72,72.60,30.69,5.95,52.90,105.76,244.02,226.92,178.85,122.73,49.49,13.03,15.73,21.62,21.73,22.17,25.17,16.24,8.43,165.49,4.70,4.37,2521.50,0.79,4.26,4.27,1.04,5.55,0.50,26.78,5.44,3.89,56.84,1.60,32.77,16.43,54.66,26.00,37.74,4.19,56.58,33.87,17.31,54.19,26.06,36.94,25.59,59.73,34.57,25.16,83.49,199.47,247.61,248.02,82.48,85.83,78.97,11.10,9.55,8.52,989.74,3089.97,4738.00,19.62,17.50,2.69,2.42,89.59,25.04,28.73,24.17,24.59,24.67,22.73,22.64,22.61,20.98,20.70,20.61,52.34,0.57,24.82,19.77,1.59,1.76,,69.28,38.99,33.32,35.16,54.74,1.47,24.85,45.06,28.62,7.66,4.53,5.57,28.02,12.83,45.70,81.93,18.72,23.65,71.46,33.36,16.06,0.39,1.61,67.39,26.35,25.34,16.98,36.57,,23.34,31.31,37.23,39.12,28.99,35.03,9.69,12.17,12.21,13.65,68.14,,,,,,,,,,,,
Lesotho,2007,24.73,20.46,14.98,12.10,9.89,9.43,8.41,18.78,28.12,,53.72,32.99,22.02,0.17,0.13,0.13,0.06,0.03,0.02,0.00,0.00,0.00,2.12,25.22,55.92,6.60,41.95,38.75,7.46,94.95,9.26,10.54,53.58,12.67,11.26,13.70,60.11,16.44,3.21,30.07,100.20,191.95,172.40,133.62,97.30,42.69,8.98,13.99,18.75,22.21,22.83,21.15,15.38,5.73,129.95,3.74,2.95,2118.29,0.59,3.78,3.82,0.86,5.99,0.46,2.14,4.73,32.36,45.88,0.20,24.96,1.64,71.81,14.05,23.59,35.76,40.48,25.13,1.84,68.84,15.44,22.69,27.44,89.62,44.70,44.92,114.58,153.79,166.38,188.84,62.37,61.94,65.05,8.50,2.26,2.06,748.49,2229.80,3903.07,20.38,18.05,2.00,1.79,97.16,29.56,30.66,18.20,18.49,18.49,12.92,12.87,12.77,6.16,6.07,6.01,35.90,0.46,21.11,17.06,1.37,1.41,,22.75,5.28,33.06,8.53,43.37,2.51,14.25,38.85,44.39,5.79,7.15,9.37,39.82,14.11,42.91,,32.07,13.41,55.15,15.23,34.54,0.17,13.88,58.96,10.46,12.67,,17.23,28.17,,,,,,,,,,,87.46,,,,,,,,,,,,
Liberia,2007,17.10,19.14,15.76,15.37,13.20,9.91,9.52,17.79,29.66,,67.44,22.07,28.03,0.05,0.06,0.07,0.02,0.02,0.03,0.00,0.01,0.01,46.79,6.33,36.38,3.27,16.80,15.92,2.89,33.28,1.64,1.10,44.99,3.57,1.82,1.41,49.38,4.34,0.76,3.36,164.47,273.29,248.92,214.88,171.94,80.21,25.86,15.35,20.30,16.25,19.31,23.92,17.20,12.52,205.12,5.90,5.20,675.69,1.07,4.77,4.94,1.46,6.33,0.39,3.62,1.09,2.12,68.15,1.51,10.51,7.21,76.99,1.39,35.74,2.36,66.58,10.83,7.70,76.03,1.52,33.50,42.97,70.23,32.45,37.77,110.19,523.71,523.71,523.71,222.43,215.89,214.99,25.60,24.86,15.02,2669.12,7771.95,12899.38,19.02,15.79,3.35,2.75,81.98,9.55,10.79,27.11,27.59,27.64,25.75,25.82,25.80,24.47,24.07,24.07,59.02,0.51,14.46,11.97,2.50,2.51,,28.33,2.19,62.20,3.85,67.92,1.88,31.07,38.81,28.24,7.66,,,,35.96,17.58,,,10.24,41.72,22.38,,1.30,3.64,23.99,55.08,6.89,3.07,52.98,,28.64,33.80,36.41,40.70,31.02,33.45,10.18,11.76,11.31,12.14,22.41,40.40,10.57,,34.10,,,,,,,,
Madagascar,2007,21.82,16.80,16.26,14.28,12.10,10.51,8.22,17.97,28.98,,68.72,17.45,18.18,0.02,0.02,0.04,0.01,0.01,0.01,0.00,0.00,0.00,22.42,8.06,48.81,1.98,28.77,26.96,3.99,70.44,14.62,2.68,56.13,12.92,16.89,3.45,60.38,15.93,6.14,61.53,165.17,235.78,209.69,175.38,132.23,64.08,14.40,13.15,15.03,14.56,18.13,15.52,12.95,8.06,173.48,4.98,4.94,1489.07,0.88,4.50,4.66,1.08,5.63,0.49,19.76,1.65,34.38,13.13,1.57,16.36,2.75,95.68,4.37,64.43,34.17,12.47,16.21,3.25,94.93,5.02,62.56,29.03,50.04,26.36,23.68,77.49,283.60,296.11,366.80,104.91,105.13,104.49,21.21,19.89,11.71,1258.97,3784.81,6269.61,19.63,16.66,2.95,2.60,89.29,20.17,27.61,26.35,26.36,26.44,23.67,23.75,23.73,20.44,20.42,20.20,83.10,0.44,19.23,16.75,2.24,2.32,,28.50,9.07,76.06,2.73,84.01,4.78,18.15,32.79,44.28,5.41,2.11,2.58,37.09,18.90,34.59,,0.65,10.40,51.41,15.88,0.56,1.44,8.44,24.03,10.75,21.18,6.16,39.49,40.71,,,,,,,,,,,58.03,,,,,,,,,,,,
Malawi,2007,21.68,21.99,18.50,12.89,10.31,7.99,6.64,17.46,27.79,,69.42,18.58,17.37,0.11,0.17,0.23,0.06,0.06,0.09,0.00,0.01,0.03,15.87,11.02,65.10,5.76,19.03,17.86,5.45,68.30,7.84,3.38,57.95,8.00,10.28,4.91,63.20,10.89,3.25,31.71,158.66,285.42,247.29,208.16,162.66,76.37,28.89,8.06,9.44,10.58,10.94,13.64,10.17,7.20,207.41,5.84,4.06,968.98,0.94,4.56,4.62,1.18,5.67,0.41,40.77,1.83,0.35,77.92,1.08,30.84,3.02,91.63,6.82,27.77,0.41,75.29,31.09,2.68,89.20,11.73,17.20,50.48,71.01,31.00,40.01,117.90,260.90,299.00,345.47,89.09,87.48,87.76,0.85,0.43,0.15,1069.14,3149.25,5265.30,18.72,16.71,3.04,2.55,97.26,27.38,31.43,25.49,26.13,26.37,22.76,22.61,22.57,18.67,17.82,17.82,55.75,0.54,15.49,12.18,1.90,1.81,,64.34,9.72,63.01,14.91,66.20,1.91,12.27,38.96,46.85,6.03,3.71,5.42,19.60,8.20,39.26,,1.79,13.56,62.86,12.89,2.09,0.68,1.47,35.74,36.38,18.93,0.10,38.59,36.65,15.65,24.90,28.49,28.02,17.52,20.86,12.39,14.61,14.44,16.18,59.37,,,,,,,,,,,,
Mali,2007,20.93,17.84,18.33,13.90,11.87,9.38,7.76,16.64,28.44,,83.87,12.22,33.67,0.17,0.16,0.30,0.03,0.04,0.12,0.00,0.01,0.02,78.13,1.93,11.07,0.58,10.79,10.05,1.46,17.38,19.06,4.82,69.88,23.52,20.54,6.18,73.85,27.49,4.14,42.65,184.85,274.87,283.78,241.93,172.06,86.85,24.53,13.89,17.60,13.73,19.46,16.15,17.00,11.22,221.73,6.34,6.45,1490.88,1.21,5.42,5.60,1.53,7.08,0.37,39.50,4.22,3.07,76.53,30.06,15.41,3.47,74.02,12.24,42.13,3.52,74.74,15.45,3.68,73.47,13.14,40.98,88.17,87.42,42.94,44.48,167.22,183.29,200.81,207.51,50.48,50.44,48.60,0.01,0.01,0.00,605.80,1815.98,2915.98,19.08,16.24,3.50,2.73,69.99,6.26,7.22,33.80,34.09,34.43,28.81,28.87,28.88,23.84,23.25,22.92,52.60,0.51,21.61,17.56,2.68,3.18,3.39,48.86,33.43,3.16,5.19,54.35,0.36,56.68,32.68,10.28,12.08,4.08,4.90,10.75,10.54,85.61,,0.58,5.26,64.88,38.54,0.33,0.16,3.44,62.42,48.08,47.07,47.06,69.00,58.82,15.80,18.58,19.67,28.36,17.00,18.19,3.98,4.32,4.52,4.78,12.47,,,,,,,,,,,,
Mozambique,2007,21.23,19.13,17.39,14.20,11.77,8.78,7.50,17.86,28.55,,68.00,17.94,37.98,0.11,0.14,0.14,0.03,0.05,0.04,0.00,0.01,0.01,34.43,5.65,51.68,1.61,13.89,13.06,3.37,42.28,18.24,11.89,53.90,18.21,21.64,14.55,58.97,22.26,5.00,36.65,174.76,253.34,235.61,200.53,152.20,76.94,36.52,14.65,17.63,17.48,19.57,19.55,17.57,14.65,196.94,5.65,5.00,943.24,0.94,4.59,4.74,1.28,6.05,0.37,32.75,4.37,2.69,23.16,3.12,35.29,5.36,82.30,11.86,45.81,2.81,21.87,35.70,7.69,79.45,13.72,44.00,46.67,78.49,32.81,45.68,121.13,222.25,269.86,322.29,76.90,78.83,82.06,4.00,2.98,2.75,922.74,2838.04,4923.46,19.08,15.85,2.96,2.43,93.34,17.11,19.68,27.52,27.74,27.80,24.27,24.27,24.20,19.54,19.37,19.35,54.85,0.41,23.47,20.28,2.34,2.34,,44.15,17.44,63.00,9.02,60.31,3.17,17.81,35.58,43.44,6.60,1.73,1.99,31.73,10.50,45.56,,4.81,6.78,45.08,21.37,4.65,1.18,4.03,34.52,5.97,14.51,8.53,39.27,,,,,,,,,,,,35.19,,,,,,,,,,,,
Namibia,2007,22.13,18.53,15.84,14.33,11.57,9.72,7.88,22.93,28.74,,38.19,54.62,44.65,0.10,0.14,0.13,0.02,0.04,0.04,0.00,0.01,0.01,8.31,7.94,25.54,11.78,66.15,60.52,8.11,88.93,40.25,35.76,73.53,33.34,44.24,40.88,76.12,38.76,24.34,68.44,92.96,176.26,173.97,155.44,108.92,47.39,8.77,14.51,22.23,20.52,21.35,21.34,16.41,6.56,129.83,3.82,3.12,7877.79,0.73,4.43,4.44,1.11,6.43,0.58,14.91,22.58,20.84,45.94,1.98,22.17,36.09,57.01,48.83,10.93,,,22.40,38.92,53.57,51.77,10.57,23.51,46.51,23.06,23.45,68.94,106.98,172.73,176.24,32.18,32.27,31.43,0.03,0.02,0.02,386.21,1161.87,1886.09,20.77,18.58,2.04,1.89,98.50,46.51,47.35,25.30,25.98,26.03,21.24,21.41,21.41,15.55,14.96,14.84,42.51,0.44,40.21,35.45,1.48,1.40,,50.24,26.22,16.66,27.64,51.53,3.94,30.27,33.52,32.27,5.93,18.65,20.89,42.15,22.91,39.05,,36.84,43.09,77.40,41.20,38.49,6.05,9.42,70.44,15.34,32.40,18.49,56.25,,,,,,,,,,,,82.39,29.10,17.02,16.33,56.43,,,,,,,,
Niger,2007,18.69,18.14,19.37,14.80,12.50,9.36,7.15,15.85,28.56,,84.05,11.77,25.88,0.26,0.24,0.29,0.07,0.07,0.09,0.00,0.01,0.01,79.14,1.55,12.14,0.49,8.70,7.97,1.33,15.23,15.49,5.06,54.23,11.46,16.86,6.20,59.68,13.56,2.09,44.64,188.36,296.57,295.94,271.45,207.65,94.36,43.41,12.11,13.72,13.78,17.63,17.95,16.25,19.87,239.85,6.99,8.61,832.40,1.45,6.09,6.24,1.97,8.27,0.30,12.49,3.32,1.89,81.45,8.15,37.35,2.42,85.78,10.28,49.99,,,38.21,2.72,84.92,11.42,49.62,113.54,72.71,30.77,41.94,177.63,138.95,164.84,169.70,36.90,34.61,32.98,0.00,0.00,0.00,442.74,1246.02,1978.52,18.47,15.98,3.89,2.98,74.23,6.61,11.80,34.16,34.55,34.72,29.26,29.19,29.08,24.06,21.92,20.99,38.24,0.51,14.43,11.83,2.90,3.37,,39.75,12.79,31.53,3.91,45.04,0.15,47.96,38.22,13.67,11.14,1.32,1.81,16.22,8.43,88.11,,1.53,3.51,44.56,17.07,0.90,,2.05,62.29,,,,,44.53,,,,,,,,,,,10.83,,,,,,,,,,,,
Nigeria,2007,20.35,18.73,18.78,13.36,11.43,8.94,8.41,18.20,28.49,,68.48,26.99,36.04,0.07,0.10,0.09,0.01,0.02,0.02,0.00,0.00,0.00,33.79,13.92,20.86,17.13,45.35,36.75,6.18,55.04,49.42,16.13,73.61,36.70,51.23,19.65,77.42,41.31,32.99,80.53,113.02,220.48,265.24,239.67,161.32,81.94,37.54,8.34,11.59,11.86,12.99,11.78,10.27,8.21,188.85,5.60,6.22,4378.37,0.90,4.54,4.57,1.29,6.38,0.48,26.10,8.55,21.38,34.98,23.25,26.36,14.10,58.46,8.36,45.21,22.04,33.56,27.13,19.43,52.41,6.31,44.78,78.80,78.45,41.33,37.13,150.70,281.35,310.85,315.24,120.48,118.35,118.12,6.51,5.42,4.67,1445.81,4260.55,7086.91,19.89,17.24,2.99,2.42,73.21,10.43,15.47,29.74,30.47,30.63,27.00,27.14,27.15,24.16,23.95,23.86,59.61,0.44,33.27,30.98,2.47,2.79,,39.22,24.36,25.78,10.29,62.37,0.52,44.88,37.44,17.16,10.27,2.64,3.12,11.99,7.03,61.65,,26.33,12.49,54.02,39.38,25.07,0.24,0.82,66.58,43.45,23.38,13.03,42.86,,,,,,,,,,,,49.04,,,,,,,,,,,,
Pakistan,2007,3.78,10.20,13.56,11.12,10.51,8.02,8.01,18.27,21.01,,62.50,,19.87,0.17,0.21,0.23,0.05,0.06,0.07,0.00,0.02,0.01,46.36,4.47,7.28,4.13,11.56,7.75,1.50,18.98,86.69,34.52,36.16,49.92,57.67,24.12,24.73,34.37,80.35,98.91,49.69,179.80,223.65,182.51,115.50,55.18,19.43,4.96,7.79,11.29,12.46,12.07,9.56,7.42,134.64,4.13,2.98,4046.27,1.24,7.51,7.57,1.06,6.10,0.51,31.07,7.88,10.49,56.77,21.30,34.23,53.57,42.52,39.13,10.86,7.15,37.03,21.59,36.25,27.13,24.74,6.50,17.24,70.71,47.12,23.58,86.70,96.53,116.81,139.01,31.67,29.65,29.09,2.00,1.12,1.11,380.00,1067.37,1745.58,19.12,,2.52,2.28,61.08,12.39,15.99,31.03,31.08,31.14,21.82,21.75,21.73,9.91,9.49,9.40,15.02,0.85,46.57,46.42,1.14,1.68,,5.14,19.27,23.07,,17.72,1.57,5.81,10.58,13.79,3.84,35.85,25.43,,,,,32.25,,,,21.02,,,54.90,,,,,,,,,,,,,,,,15.33,,,,80.28,,,,,,,,
Peru,2007,19.01,15.58,14.97,14.25,13.49,12.38,10.32,19.87,30.25,35.96,59.95,30.95,61.20,0.17,0.22,0.19,0.06,0.08,0.07,0.01,0.02,0.01,4.36,9.46,30.04,19.35,65.60,40.22,8.81,91.04,73.21,25.88,84.01,63.84,78.11,30.47,88.75,72.54,48.46,94.61,74.95,139.24,132.34,115.39,75.21,30.17,6.33,9.56,13.34,13.08,12.88,10.54,7.08,3.90,97.10,2.87,2.39,7228.20,0.47,3.86,3.98,0.67,5.32,0.70,21.33,6.64,8.30,46.56,6.33,14.20,42.05,45.52,74.74,20.48,8.49,42.96,14.51,46.83,41.13,77.97,17.38,9.06,22.89,12.28,10.60,31.72,170.01,217.34,306.87,72.17,68.89,71.97,19.86,13.56,11.77,866.05,2480.21,4318.42,20.85,18.39,2.21,2.04,98.73,32.67,48.64,18.31,18.61,18.63,16.74,16.75,16.75,15.28,14.69,14.51,68.38,0.37,45.74,45.58,0.86,0.83,,45.97,39.99,33.52,28.70,74.80,6.48,15.70,31.82,46.00,4.08,17.61,20.62,50.93,19.74,64.69,74.75,48.82,23.04,67.68,56.24,53.19,5.08,4.34,60.39,3.42,2.10,0.99,5.31,26.79,11.38,15.96,41.52,41.88,14.95,40.65,3.21,7.94,4.21,10.47,86.28,32.60,13.86,37.22,,,,,,,,,
Philippines,2007,20.30,15.52,14.89,13.76,13.52,11.24,10.76,20.77,30.00,68.80,64.96,30.73,43.48,0.05,0.07,0.11,0.01,0.02,0.02,0.00,0.00,0.00,1.96,12.96,23.33,24.80,74.71,45.01,10.08,95.73,76.89,34.17,63.34,62.09,80.38,39.40,66.62,67.96,68.87,89.31,59.19,184.58,187.57,148.68,94.95,45.87,6.02,13.29,21.53,22.31,20.41,19.06,13.47,4.59,121.61,3.63,3.00,4182.04,0.69,4.65,4.83,0.84,5.95,0.61,21.28,8.31,11.39,10.28,19.65,12.37,77.68,16.72,41.76,10.88,13.43,9.43,12.17,80.15,14.78,44.95,9.76,10.70,27.51,16.62,10.90,37.87,476.88,565.54,577.22,242.46,215.38,207.70,99.92,34.30,21.36,2909.46,7753.66,12462.18,22.17,20.82,2.24,2.11,96.91,22.72,32.90,26.76,27.35,27.44,25.66,25.91,25.91,24.30,24.29,24.26,47.48,0.25,53.30,54.24,1.43,1.35,,50.36,67.66,18.76,29.11,55.55,7.46,12.39,29.81,50.34,3.28,12.34,15.78,54.67,21.27,44.31,,,27.23,68.37,79.37,,5.23,5.81,77.84,10.00,26.01,11.58,46.20,,,,,,,,,,,,90.89,,,,,,,,,,,,
Senegal,2007,23.66,19.93,16.58,13.35,11.12,8.73,6.63,17.77,27.83,,69.76,25.37,42.10,0.41,0.37,0.39,0.15,0.16,0.17,0.04,0.06,0.06,61.42,3.32,23.00,0.79,15.58,14.53,2.53,33.32,42.31,16.64,80.04,37.87,47.94,21.72,84.96,47.45,20.24,73.94,107.75,224.43,253.65,227.24,169.08,77.65,20.64,9.59,10.67,11.91,13.08,13.07,10.73,7.23,180.48,5.40,5.49,2139.52,1.83,9.02,9.13,2.64,13.26,0.43,22.78,4.33,19.44,42.12,7.83,26.98,16.17,65.78,38.89,35.00,21.66,36.90,27.18,21.87,50.27,42.67,33.53,53.55,56.72,32.42,24.31,106.94,264.75,299.84,301.30,62.70,61.85,60.61,0.00,0.00,0.00,752.44,2226.61,3636.61,19.87,17.65,2.72,2.32,90.37,8.04,9.03,31.17,31.33,31.33,28.19,28.04,27.95,25.04,23.97,23.82,38.99,0.45,34.86,29.71,2.20,2.85,,38.88,28.84,30.95,4.63,46.32,0.51,56.96,31.20,11.33,11.78,12.11,17.36,13.23,7.31,85.62,,28.43,8.39,71.39,56.14,28.35,0.22,0.61,68.95,37.77,13.96,3.21,34.78,56.60,,,,,,,,,,,25.06,,,,,,,,,,,,
South Africa,2007,17.60,16.82,15.84,15.24,13.61,11.12,9.77,22.84,30.11,40.06,39.99,52.25,71.65,0.21,0.13,0.18,0.06,0.02,0.04,0.03,0.01,0.01,3.62,6.30,16.99,21.97,79.39,69.27,9.62,98.67,82.21,66.48,73.37,71.03,83.00,69.58,73.04,75.06,70.42,90.15,68.57,124.50,134.01,94.66,63.37,24.02,4.44,9.02,12.56,13.33,10.79,9.97,7.26,2.41,89.22,2.57,2.56,,0.45,3.75,3.77,0.73,5.18,,13.42,29.15,62.13,9.54,2.40,19.38,71.87,23.84,76.37,6.66,62.37,8.49,19.72,62.86,30.51,76.75,7.07,9.69,36.65,18.22,18.43,45.93,97.17,124.90,125.75,42.84,46.36,44.12,10.53,3.19,2.94,514.08,1668.81,2646.94,20.95,17.93,1.72,1.61,98.46,49.88,50.26,23.74,23.76,24.10,17.98,17.62,17.60,10.77,9.96,9.96,36.12,0.32,64.71,65.60,,,,52.65,49.87,1.41,40.42,40.84,3.38,24.80,31.31,40.51,4.71,20.43,18.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,2007,21.53,18.59,16.80,14.12,11.72,9.33,7.90,18.26,28.62,,64.25,25.32,25.39,0.35,0.31,0.32,0.18,0.15,0.15,0.06,0.04,0.04,21.59,43.53,60.26,1.00,18.14,16.96,5.62,70.12,13.38,5.73,61.29,9.99,15.96,7.58,66.02,12.84,5.30,35.01,114.33,252.19,245.81,218.36,162.53,78.05,23.26,21.43,25.94,29.40,31.79,30.34,25.32,15.73,185.18,5.47,5.27,1859.08,0.98,4.77,4.94,1.28,6.57,0.46,42.35,1.60,0.83,67.68,2.89,33.58,6.63,82.57,12.30,45.21,0.97,64.60,34.38,7.68,81.14,13.84,44.27,35.24,60.52,31.37,29.15,93.52,223.15,269.26,295.12,81.47,80.45,81.79,2.34,1.81,1.79,977.68,2896.28,4907.63,19.26,17.15,2.93,2.53,96.87,19.83,24.34,25.67,25.89,25.99,23.75,23.70,23.68,21.18,20.98,20.97,74.88,0.44,18.01,14.29,2.20,2.25,12.03,52.97,17.25,67.28,20.10,77.96,1.93,26.97,38.79,32.31,7.53,5.40,7.30,28.78,8.52,49.55,,2.58,18.62,62.78,20.18,1.68,0.44,1.30,35.97,16.56,0.65,0.00,10.57,45.63,,,,,,,,,,,65.49,,,,,,,,,,,,
Togo,2007,19.20,16.91,17.70,15.14,13.30,9.39,8.36,18.87,29.17,,68.73,24.43,35.23,0.24,0.20,0.16,0.10,0.10,0.07,0.01,0.02,0.01,42.25,5.00,32.64,,25.11,23.46,3.50,68.08,29.54,4.64,58.06,23.34,31.96,6.75,63.72,28.28,9.81,60.55,92.98,226.10,244.48,214.62,152.01,79.88,34.23,11.37,14.90,13.99,15.49,16.69,13.58,12.32,176.28,5.22,4.65,1348.33,0.98,5.21,5.27,1.43,7.46,0.45,35.86,2.73,2.68,19.38,22.24,,8.76,38.74,36.26,28.39,2.92,17.82,,9.04,65.21,13.13,37.66,57.01,61.26,31.50,29.76,114.54,189.96,274.03,295.62,89.38,94.27,96.82,10.87,1.27,0.12,1072.56,3393.73,5809.48,20.12,17.18,2.91,2.49,94.17,13.21,21.96,30.47,30.47,30.70,27.38,27.27,27.28,25.00,24.90,24.85,73.30,0.31,34.16,31.91,1.80,1.78,,19.50,9.12,30.98,2.55,76.67,1.30,29.95,39.13,29.62,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,2007,1.80,8.08,12.52,12.73,12.35,11.02,9.82,19.83,23.39,,64.85,,47.30,0.33,0.22,0.17,0.14,0.10,0.07,0.02,0.01,0.01,10.77,33.80,37.45,12.27,20.10,8.64,3.93,75.42,,96.59,,95.86,,66.81,,67.09,,,34.20,132.00,141.25,95.43,39.32,12.44,2.62,6.29,9.96,11.26,11.06,7.34,3.91,1.24,79.09,2.29,1.73,13619.94,0.44,4.01,4.14,0.44,3.45,0.70,,8.83,48.96,4.09,6.06,40.50,75.20,8.75,86.18,2.59,34.51,2.23,32.29,62.93,6.39,70.29,1.83,5.90,19.64,13.21,6.43,25.41,86.64,109.33,124.10,43.10,45.21,46.52,9.36,5.49,4.85,517.18,1627.74,2791.05,19.26,,1.78,1.66,67.92,28.60,46.73,23.49,24.03,24.11,11.11,11.18,11.07,-3.54,-4.04,-4.04,3.93,0.23,73.18,74.12,0.64,0.63,,,,,,,1.00,3.38,12.28,10.60,2.83,64.08,41.68,,,,,,,,,,48.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,2007,22.80,19.67,16.83,13.96,11.27,8.63,6.84,17.41,28.09,,63.21,23.44,16.47,0.25,0.24,0.20,0.08,0.07,0.07,0.00,0.00,0.01,18.83,10.49,59.71,0.79,21.46,17.57,4.98,56.03,8.81,3.07,60.04,6.43,10.57,4.69,64.34,8.75,3.38,33.10,151.62,314.45,306.78,255.48,187.55,90.39,25.58,10.77,12.81,14.17,17.14,15.95,14.19,9.63,230.26,6.66,4.98,,1.13,4.94,5.01,1.42,6.51,,38.15,1.78,0.36,77.47,3.45,59.08,1.48,73.06,4.81,31.36,0.66,75.21,59.30,1.85,72.17,5.22,30.34,56.34,68.19,27.20,40.98,120.53,159.26,191.50,231.72,94.39,96.68,100.58,30.84,25.07,24.41,1132.69,3480.54,6034.75,18.44,16.17,3.54,2.98,96.13,15.88,19.62,25.33,25.63,25.67,23.51,23.58,23.57,22.21,22.16,22.06,79.48,0.47,14.51,12.12,2.13,2.05,6.44,59.59,5.96,73.41,9.55,84.45,2.60,19.92,35.79,41.69,6.22,0.72,1.02,22.17,15.37,52.51,,1.35,14.30,72.47,11.41,0.55,0.80,3.89,26.90,19.19,9.42,1.55,14.84,38.40,33.47,40.97,55.48,59.87,31.68,47.30,19.15,28.10,22.64,29.91,45.33,19.78,10.33,,,,,,,,,,
