country_name,year,DM_age_15.19_p,DM_age_20.24_p,DM_age_25.29_p,DM_age_30.34_p,DM_age_35.39_p,DM_age_40.44_p,DM_age_45.49_p,DM_age_marr_mean,DM_age_mean,DM_born_rural_p,DM_marr_p,DM_nvr_marr_p,DM_urban_p,drought_spei03_n1_share12,drought_spei03_n1_share36,drought_spei03_n1_share60,drought_spei03_n1.5_share12,drought_spei03_n1.5_share36,drought_spei03_n1.5_share60,drought_spei03_n2_share12,drought_spei03_n2_share36,drought_spei03_n2_share60,ED_attainment_no_educ_p,ED_attainment_primary_completed_p,ED_attainment_primary_p,ED_attainment_secondary_completed_p,ED_attainment_secondary_higher_p,ED_attainment_secondary_p,ED_educ_years_mean,ED_litt_p,EI_elec_p,EI_fridge_p,EI_radio_p,EI_tv_p,EI_women_elec_p,EI_women_fridge_p,EI_women_radio_p,EI_women_tv_p,ER_elec_rural_p,ER_elec_urban_p,FP_desired_mean,gdp_pc,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,hdi,HH_bicycle_p,HH_car_p,HH_floor_high_p,HH_floor_low_p,HH_motorcycle_p,HH_time_water_mean,HH_toilet_high_p,HH_toilet_low_p,HH_water_high_p,HH_water_low_p,HH_women_floor_high_p,HH_women_floor_low_p,HH_women_time_water_mean,HH_women_toilet_high_p,HH_women_toilet_low_p,HH_women_water_high_p,HH_women_water_low_p,pre_max12,pre_max36,pre_max60,pre_mean12,pre_mean36,pre_mean60,pre_min12,pre_min36,pre_min60,pre_sum12,pre_sum36,pre_sum60,RH_age_first_birth_mean,RH_children_born_mean,RH_children_living_mean,RH_contr_modern_know_p,tmp_max12,tmp_max36,tmp_max60,tmp_mean12,tmp_mean36,tmp_mean60,tmp_min12,tmp_min36,tmp_min60,WK_working_p,WL_wealth_gini,WL_wealth_mean,WL_wealth_median,RH_family_planning_mobile_p,RH_family_planning_radio_p,RH_family_planning_tv_p,WK_working_agri_p,RH_family_planning_news_p,WK_working12_p,DM_age_diff_mean,EI_telephone_p,EI_women_telephone_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_money_p,DP_decide_visits_p,EI_modern_cooking_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,EI_women_modern_cooking_p,HL_smoke_cig_p,HL_smoke_p,WK_working_paid_p,HL_number_cigarettes_mean,HL_smoke10_p,HL_smoke15_p,HL_smoke5_p,NT_women_anemia_any_p,ED_litt_whole_p,DP_earn_more_equal_p,DP_earn_more_p,HL_health_insur_p,HH_watch_p,DP_owns_house_p,DP_owns_land_p,DP_decide_contraception_p,EI_computer_p,DP_decide_no_contraception_p,EI_internet_day_p,EI_internet_week_p,EI_mobile_p
Peru,2000,20.78,17.01,15.14,14.63,12.95,10.85,8.64,19.56,29.38,31.60,60.34,31.66,58.20,0.08,0.10,0.13,0.02,0.02,0.04,0.00,0.00,0.01,7.01,15.75,34.86,18.00,58.14,39.72,8.09,87.92,60.59,25.32,80.28,58.91,66.44,30.42,85.90,67.36,33.94,88.45,2.39,5547.99,0.60,4.37,4.47,0.79,5.76,0.68,20.76,7.11,5.94,51.14,3.97,13.49,38.94,61.06,59.65,30.74,6.27,47.26,14.03,43.34,56.66,64.12,26.87,302.15,322.71,325.22,83.81,81.15,76.57,22.13,13.19,12.57,1005.70,2921.54,4594.06,20.67,2.43,2.18,96.63,17.65,19.52,19.52,16.44,16.89,16.78,14.71,14.60,14.29,56.38,0.37,40.56,38.67,,57.25,49.38,32.40,34.66,65.13,4.13,14.25,17.19,52.87,16.94,59.62,75.46,88.02,19.22,62.84,54.81,52.10,,,64.16,,,,,30.96,82.33,,,,,,,,,,,,
Senegal,2000,23.31,19.39,16.75,13.24,12.23,8.72,6.36,17.32,28.00,42.71,70.76,24.30,39.03,0.58,0.33,0.31,0.16,0.14,0.12,0.04,0.05,0.04,66.74,7.73,21.81,1.46,11.45,10.51,2.16,74.32,30.87,12.63,71.94,23.47,35.66,16.72,78.56,31.75,9.34,62.33,5.53,1903.93,1.78,8.73,8.96,2.57,13.01,0.39,15.96,4.87,20.69,45.78,5.12,24.70,9.34,68.31,29.21,48.82,23.52,40.39,25.00,12.38,59.11,32.80,47.70,219.57,288.06,288.97,52.77,57.38,56.50,0.00,0.00,0.00,633.30,2065.84,3389.92,19.53,3.02,2.49,83.50,30.55,30.77,31.17,27.98,27.80,27.71,25.04,24.07,23.46,50.33,0.45,29.81,23.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,2000,18.26,17.16,15.63,15.10,14.38,11.02,8.44,21.90,29.80,45.49,43.17,48.04,68.36,0.07,0.04,0.12,0.01,0.00,0.03,0.01,0.00,0.00,5.09,8.37,23.45,17.54,71.46,63.08,8.95,99.70,74.34,57.27,79.76,64.32,75.60,60.77,81.17,68.94,54.87,87.19,2.67,,0.49,4.05,4.06,0.76,5.44,,17.43,27.44,58.77,14.12,2.19,18.27,60.71,38.34,72.72,8.41,59.35,12.46,18.07,59.23,39.30,73.45,8.61,107.64,133.71,133.89,47.78,50.93,47.26,12.20,2.20,1.97,573.31,1833.39,2835.62,20.72,1.83,1.70,97.52,23.33,23.34,23.95,17.54,17.22,17.32,10.55,9.23,9.22,36.99,0.34,60.11,59.10,,62.69,52.26,0.49,41.05,41.82,4.57,28.63,29.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,2000,22.08,19.20,18.20,12.88,10.86,8.09,8.68,17.88,28.35,80.93,67.91,22.14,22.43,0.34,0.30,0.27,0.14,0.13,0.12,0.03,0.03,0.02,25.23,48.11,69.39,0.24,5.38,5.06,4.84,96.02,7.85,1.86,43.47,2.36,9.22,2.96,50.62,3.76,1.04,34.67,5.18,1367.39,0.99,4.82,4.99,1.35,6.81,0.39,33.02,0.98,0.09,80.85,0.75,42.52,1.67,96.95,11.86,38.96,0.20,79.63,44.39,2.17,96.33,13.30,37.56,263.79,312.05,313.28,81.22,89.10,88.07,5.54,2.18,1.88,974.62,3207.51,5284.11,18.80,2.98,2.43,93.85,25.25,25.51,25.53,23.28,23.36,23.30,20.75,20.69,20.68,79.84,0.38,13.76,10.47,18.55,44.72,6.29,73.89,15.45,84.55,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,2000,20.11,16.92,18.10,15.56,12.76,8.68,7.86,18.48,28.85,,69.57,23.65,35.36,0.23,0.20,0.19,0.14,0.13,0.10,0.02,0.04,0.02,49.68,2.79,32.65,,17.68,16.93,2.62,92.91,18.75,4.48,52.93,15.26,22.04,6.93,60.36,20.83,3.86,40.96,4.73,1359.80,1.08,5.66,5.73,1.58,8.20,0.43,37.68,2.58,1.43,24.81,12.99,,1.95,8.61,70.09,21.13,1.76,22.74,,2.01,66.81,20.18,42.24,205.24,291.29,296.08,91.53,95.45,94.39,8.28,1.79,0.03,1098.31,3436.08,5663.48,19.82,3.03,2.53,92.44,30.52,30.52,30.57,27.28,27.11,27.02,25.02,24.80,24.70,76.34,0.24,39.25,37.67,,20.23,9.91,31.32,3.73,79.86,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,2000,22.15,20.36,18.43,13.64,11.38,7.87,6.18,17.25,27.80,84.07,68.14,19.61,14.44,0.38,0.22,0.19,0.04,0.04,0.04,0.00,0.01,0.01,24.21,9.25,59.30,0.47,16.49,13.76,4.28,54.41,7.13,1.69,48.26,4.50,8.91,2.62,54.86,6.80,2.25,35.41,4.96,,1.10,4.67,4.83,1.41,6.31,,39.52,1.21,5.45,83.42,2.08,46.02,1.60,96.39,1.72,47.06,6.69,80.31,46.70,1.93,95.35,2.23,46.04,208.32,228.55,250.43,95.70,101.46,105.11,23.81,18.34,11.37,1148.36,3652.57,6306.39,18.46,3.49,2.88,95.14,24.11,24.95,24.95,23.16,23.01,22.93,22.22,21.79,21.61,74.81,0.39,12.39,9.68,9.24,57.58,7.71,77.86,13.52,81.16,6.62,2.19,3.19,43.63,11.73,52.06,79.88,2.98,12.82,48.75,8.02,2.42,1.26,3.48,24.54,9.59,1.69,0.69,9.91,36.57,44.23,,,,,,,,,,,,
Vietnam,2000,1.05,7.44,12.24,13.74,13.07,11.34,8.40,20.58,23.08,55.11,63.23,,13.49,0.04,0.05,0.15,0.00,0.01,0.05,0.00,0.00,0.00,5.02,6.72,18.63,8.48,43.64,41.52,4.77,89.27,81.44,12.08,49.96,61.31,54.66,8.29,33.67,42.64,76.92,99.15,1.68,2392.37,0.52,4.54,4.63,0.45,3.50,0.57,74.39,0.96,62.30,28.90,38.68,8.77,24.29,66.81,18.79,80.23,42.32,18.55,6.32,16.02,45.38,12.40,54.18,375.46,408.16,432.69,166.66,162.95,160.59,21.46,16.30,14.78,1999.88,5866.21,9635.31,20.06,1.83,1.72,66.28,28.05,28.33,28.55,24.99,24.95,25.08,21.04,20.27,20.11,61.27,0.35,40.55,37.93,24.25,47.26,53.94,,18.74,62.42,1.96,13.86,9.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,2000,23.91,21.88,17.31,12.89,9.89,7.63,6.50,17.51,27.55,,61.01,24.75,35.74,0.18,0.22,0.24,0.08,0.08,0.10,0.00,0.01,0.03,12.91,19.32,59.88,3.21,27.22,24.58,5.62,72.44,15.15,7.61,40.71,16.68,18.36,10.00,46.32,20.49,4.56,29.08,5.07,2150.94,1.08,5.10,5.27,1.38,6.78,0.43,27.34,2.51,1.93,66.01,0.48,23.43,13.90,85.01,16.01,52.31,2.72,62.19,23.50,16.72,81.96,17.28,51.20,222.37,282.31,286.42,73.40,75.81,76.33,0.00,0.00,0.00,880.82,2729.14,4580.05,18.43,3.09,2.53,96.84,25.66,26.06,26.28,22.32,22.21,22.30,17.09,17.06,17.06,55.74,0.42,19.86,16.67,24.20,40.14,18.94,51.76,13.77,58.83,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,2000,24.61,21.18,17.25,11.39,10.95,8.17,6.46,18.79,27.53,,59.99,28.11,34.01,0.18,0.20,0.24,0.06,0.09,0.10,0.04,0.06,0.04,6.76,18.92,40.61,18.89,52.63,49.94,7.68,98.46,35.33,14.11,50.05,23.58,36.75,18.47,55.22,28.59,8.03,90.59,3.92,2470.39,0.71,4.29,4.35,1.00,5.79,0.43,22.06,6.45,5.03,32.14,0.76,28.14,33.45,41.54,35.26,19.13,5.93,31.12,40.76,34.33,40.46,36.08,19.38,209.82,281.22,321.53,64.09,61.53,56.74,1.39,0.13,0.12,769.12,2215.21,3404.52,19.54,2.34,2.14,96.83,24.89,25.57,25.81,21.11,21.32,21.32,16.11,15.61,14.95,45.50,0.42,33.36,28.19,27.13,42.29,24.85,33.61,23.78,50.29,7.53,6.37,7.98,45.64,17.31,47.58,,35.34,25.01,49.96,29.46,35.26,0.56,1.38,75.52,13.85,26.48,18.31,47.82,,,,,,,,,,,,,,
Armenia,2001,18.07,15.48,12.21,11.69,14.50,15.41,12.63,20.03,31.21,,66.17,27.34,46.22,0.39,0.33,0.27,0.25,0.19,0.14,0.07,0.07,0.05,0.08,0.08,0.43,64.69,99.49,85.05,10.64,100.00,99.07,72.76,33.26,85.00,99.31,75.37,34.91,88.97,98.81,99.44,2.70,3459.20,0.36,4.02,4.30,0.45,5.26,0.65,6.28,24.25,35.69,1.64,1.80,26.95,53.92,39.12,83.58,7.16,36.33,1.44,24.85,54.62,38.44,84.16,6.73,89.66,110.61,111.17,33.62,36.76,37.16,4.19,3.47,2.07,403.40,1323.43,2229.77,21.56,1.80,1.68,92.55,22.64,22.64,22.65,7.32,7.55,7.38,-7.98,-8.73,-8.74,32.95,0.16,67.71,68.94,,34.44,78.21,35.74,34.26,34.46,4.28,58.52,59.70,29.29,11.85,29.99,,67.89,30.19,27.95,88.90,69.37,,,61.09,,,,,16.08,,,,,,,,,,,,,
Bangladesh,2001,11.98,15.82,15.67,12.99,10.69,9.04,7.20,14.83,25.01,74.16,77.07,,15.93,0.22,0.14,0.14,0.19,0.07,0.06,0.17,0.06,0.04,34.64,8.88,25.96,2.79,22.79,19.17,2.80,88.55,33.03,,31.43,17.92,29.38,,28.94,17.17,23.46,74.14,2.07,1600.66,0.76,5.04,5.12,0.71,5.15,0.48,22.10,,0.00,0.00,1.82,13.75,2.04,65.33,4.85,4.07,0.00,0.00,11.93,1.87,53.03,4.45,3.09,561.92,595.36,612.05,182.04,176.87,174.06,0.64,0.34,0.04,2184.52,6367.23,10443.34,17.41,2.56,2.17,83.35,30.22,30.22,30.40,26.35,26.08,26.04,19.26,18.34,18.20,18.06,0.22,32.52,28.74,,21.82,24.35,4.07,4.44,,7.91,2.17,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,2001,19.60,19.38,18.92,13.83,12.03,8.88,7.36,18.22,28.41,47.94,74.87,20.47,37.62,0.44,0.24,0.24,0.29,0.12,0.11,0.11,0.04,0.03,67.17,1.95,20.70,0.27,12.13,11.49,1.86,22.47,19.09,5.12,70.62,13.53,22.33,7.28,78.13,18.33,5.60,39.58,5.15,1669.82,1.09,5.07,5.25,1.57,7.57,0.41,48.16,3.81,1.37,45.83,24.28,20.00,2.07,85.53,27.17,41.66,1.54,40.69,19.95,2.39,83.78,29.38,39.16,195.91,234.54,271.28,73.63,85.49,86.05,1.31,1.29,0.59,883.55,3077.52,5163.15,19.51,3.20,2.60,88.35,30.43,30.46,31.20,27.68,27.60,27.61,25.34,25.08,25.08,83.84,0.38,23.65,20.27,3.71,51.45,14.84,35.67,7.06,85.40,8.79,3.16,4.83,18.55,14.60,78.33,53.82,4.65,4.71,60.83,18.99,3.70,0.03,4.25,58.24,4.00,,,50.00,63.88,16.71,,,,,,,,,,,,
Bolivia,2001,22.05,17.53,15.12,13.69,12.71,10.44,8.46,19.90,29.06,31.94,59.86,32.53,67.63,0.17,0.09,0.10,0.02,0.02,0.02,0.00,0.00,0.00,7.89,5.87,40.80,14.22,51.32,36.00,7.71,93.88,69.08,31.62,82.56,59.46,75.12,38.13,87.18,68.46,30.21,94.24,2.52,4612.46,0.70,4.25,4.34,0.91,5.57,0.61,,,19.14,35.12,,16.56,32.63,67.37,74.02,22.76,21.17,29.94,16.66,36.90,63.10,77.73,19.18,151.65,201.52,207.44,65.49,70.98,71.19,5.13,4.56,3.73,785.84,2555.22,4271.36,20.80,2.57,2.24,90.06,20.48,20.60,20.69,17.75,17.62,17.63,13.93,13.17,12.81,54.36,0.42,48.00,47.82,,47.87,42.70,22.24,23.87,60.93,3.17,20.66,24.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,2001,23.21,13.91,13.76,13.88,14.11,12.05,9.08,19.30,29.59,,61.00,30.41,18.18,0.15,0.28,0.20,0.08,0.14,0.09,0.01,0.04,0.03,30.64,6.05,53.11,1.22,16.25,15.92,3.24,63.23,16.04,1.46,39.57,30.30,17.96,1.85,42.32,33.92,10.76,50.36,3.63,1509.01,0.77,5.21,5.38,0.80,6.08,0.43,50.88,2.23,4.95,7.61,23.39,,13.36,85.19,,,5.54,7.09,,14.73,83.59,,,321.44,408.24,433.46,155.40,147.07,150.25,14.10,6.59,4.13,1864.75,5294.61,9015.28,21.41,2.63,2.24,89.70,28.79,30.23,30.35,27.26,27.77,27.62,23.93,23.91,23.89,71.83,0.27,30.93,27.46,,65.08,60.66,71.21,31.95,81.74,3.15,3.24,3.95,,,51.75,,3.28,10.86,41.45,49.50,3.53,5.41,14.38,33.86,9.01,26.11,10.56,45.06,57.72,42.24,,,,,,,,,,,,
Colombia,2001,19.12,17.09,15.05,13.91,13.43,11.63,9.76,20.15,29.92,22.27,51.31,33.86,78.07,0.00,0.15,0.10,0.00,0.08,0.05,0.00,0.00,0.00,3.08,15.09,30.59,21.22,66.33,50.41,8.14,100.00,95.65,64.08,84.23,83.44,96.75,69.25,86.22,87.76,83.85,99.45,2.26,7791.59,0.52,4.14,4.18,0.68,5.22,0.66,38.60,11.63,47.68,8.30,7.52,16.05,0.00,15.77,17.98,13.28,50.07,6.86,15.77,0.00,13.17,18.18,11.08,371.40,374.63,375.47,220.68,198.76,199.46,100.87,40.47,40.39,2648.18,7155.39,11967.57,21.51,1.78,1.70,99.83,22.17,23.49,23.49,21.61,22.12,22.04,21.02,21.02,20.97,49.89,0.25,59.14,64.57,,48.13,68.12,7.10,41.67,61.36,4.45,52.78,57.32,67.57,22.08,79.91,73.59,82.62,,,,85.56,,,85.87,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,2001,22.07,19.28,18.23,14.95,10.57,8.15,6.75,17.92,28.07,,67.87,25.12,33.55,0.13,0.24,0.23,0.04,0.08,0.07,0.00,0.00,0.00,64.64,6.05,22.20,1.00,13.16,12.34,2.23,72.80,37.16,8.50,51.57,23.66,42.20,12.22,57.37,30.00,20.23,74.89,5.61,2787.89,1.23,6.01,6.02,2.00,9.64,0.41,39.23,2.68,5.72,30.70,18.62,19.23,10.69,66.32,18.66,47.17,7.82,26.38,20.13,13.52,61.90,21.88,45.93,223.66,250.97,261.94,105.37,105.50,105.48,7.15,4.80,4.13,1264.47,3798.12,6328.70,18.86,3.13,2.61,78.92,29.09,29.42,29.75,26.70,26.66,26.67,24.83,24.67,24.48,72.14,0.39,29.24,24.27,,10.11,12.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,2001,2.34,9.44,12.50,11.62,11.45,9.72,9.65,19.23,22.34,34.46,61.80,,36.19,0.22,0.11,0.12,0.01,0.00,0.01,0.00,0.00,0.00,26.52,3.69,11.21,16.36,28.99,22.64,3.98,37.14,96.36,73.42,83.13,89.06,64.97,49.64,57.21,60.99,89.28,99.53,1.96,8283.78,0.78,5.29,5.29,0.76,4.59,0.62,17.16,10.80,65.53,16.07,1.83,18.70,94.57,5.43,84.30,9.95,42.43,11.83,12.19,64.26,3.91,55.92,8.17,13.60,18.00,18.03,2.89,3.20,3.07,0.21,0.20,0.19,34.69,115.15,184.27,19.70,2.27,2.04,66.61,29.55,29.93,29.96,22.05,22.05,21.97,13.12,12.78,12.70,12.51,0.26,71.34,75.73,,39.97,60.47,12.10,18.74,13.09,4.80,39.70,26.04,20.42,3.23,29.85,,98.44,17.12,44.65,59.97,66.84,,0.29,73.66,,,,,,31.62,,,,,,,,,,,,
Ethiopia,2001,23.20,18.52,18.09,12.66,11.74,8.30,7.50,16.40,27.97,,61.77,24.99,34.91,0.18,0.17,0.19,0.04,0.05,0.06,0.00,0.00,0.01,66.59,2.76,17.45,4.28,15.96,14.71,2.16,31.64,27.67,,34.50,8.08,29.14,,38.46,11.05,2.51,66.19,5.73,650.17,0.81,4.56,4.66,0.95,5.81,0.30,1.82,1.06,9.82,81.05,0.05,49.86,1.43,93.66,33.21,53.94,11.96,79.04,50.72,1.92,92.74,33.79,53.34,168.28,203.20,245.78,62.50,66.62,67.83,6.12,3.36,2.31,750.06,2398.49,4069.51,19.14,2.83,2.21,77.96,25.10,25.36,25.42,22.41,22.58,22.50,19.98,19.93,19.65,49.31,0.48,17.22,14.44,,26.34,12.22,42.66,7.85,55.84,8.55,5.05,7.16,,,51.93,,14.03,3.07,17.17,11.80,14.59,,,48.72,,,,,,25.74,,,,,,,,,,,,
Gabon,2001,26.03,19.73,14.89,13.85,11.00,8.47,6.04,18.46,27.55,,56.60,30.85,63.74,0.09,0.07,0.09,0.02,0.03,0.05,0.00,0.00,0.01,5.34,7.41,44.12,1.26,50.54,48.23,6.29,98.81,61.36,34.95,64.66,39.91,69.17,45.71,71.33,50.37,30.56,83.24,5.15,17670.39,0.84,4.95,4.93,1.63,8.79,0.64,2.83,9.01,14.18,34.37,0.85,21.76,16.22,67.83,30.39,33.42,16.61,29.37,23.03,19.32,63.82,35.02,29.08,328.94,353.92,374.65,157.25,162.52,159.36,13.33,6.88,6.83,1887.05,5850.63,9561.85,18.07,2.80,2.51,94.80,26.73,27.60,27.60,25.38,25.61,25.46,23.43,23.42,23.39,38.66,0.42,35.53,30.64,,37.67,33.02,35.79,26.42,42.72,7.65,7.40,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,2001,19.18,17.65,17.07,13.92,13.08,10.19,8.92,18.70,29.31,47.92,66.45,24.27,36.26,0.21,0.30,0.24,0.05,0.15,0.11,0.01,0.04,0.03,36.86,4.71,18.44,3.32,44.70,42.52,5.11,62.38,38.61,13.32,60.51,19.47,39.88,16.57,64.13,22.94,19.16,73.00,4.65,2318.40,0.72,3.98,4.12,1.04,5.66,0.48,30.01,3.56,17.72,13.08,2.52,20.83,7.50,67.94,15.74,38.32,18.04,16.32,21.21,8.77,65.90,14.70,35.28,222.86,263.54,268.93,91.65,92.62,94.32,5.22,3.62,2.72,1099.82,3334.17,5659.08,20.04,2.73,2.35,93.70,30.16,30.38,30.42,27.64,27.54,27.46,25.67,25.34,25.22,75.68,0.36,28.49,24.81,,62.43,37.73,39.58,12.66,78.12,8.04,3.71,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,2001,22.78,18.86,15.37,13.29,11.86,9.26,8.59,18.11,28.66,,66.42,25.59,35.03,0.21,0.15,0.15,0.10,0.05,0.06,0.01,0.01,0.02,28.39,13.07,49.83,5.49,21.78,19.37,4.01,97.86,62.55,25.53,74.97,47.29,64.46,27.68,78.85,51.08,52.46,89.32,3.56,5152.19,1.01,5.27,5.30,1.23,6.53,0.55,30.23,13.04,4.06,46.43,6.21,18.46,6.87,62.50,21.09,10.60,4.04,44.34,19.41,6.89,61.64,21.44,10.75,560.29,589.41,648.58,255.32,238.36,236.17,27.17,16.86,15.02,3063.82,8580.94,14170.21,19.68,2.94,2.67,80.06,24.62,24.64,24.73,22.62,22.48,22.43,20.51,20.26,19.53,31.52,0.46,32.62,29.67,,43.34,33.07,14.24,22.59,34.33,4.26,9.72,10.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,2001,23.29,17.55,15.37,12.26,12.18,9.54,9.82,19.47,28.94,,61.98,28.63,28.29,0.61,0.40,0.30,0.44,0.25,0.16,0.21,0.09,0.06,33.43,5.41,44.78,0.59,21.78,21.00,3.48,53.26,17.68,4.39,41.09,10.61,21.86,5.97,46.34,13.82,5.09,49.94,3.30,1786.20,0.87,4.85,4.90,1.16,6.36,0.45,15.15,1.94,0.39,90.22,1.78,32.27,,,9.54,50.12,,,31.49,,,11.39,46.63,217.72,385.68,408.20,95.95,112.64,116.29,20.06,18.94,18.77,1151.37,4055.02,6977.52,21.12,2.83,2.36,98.39,27.05,27.31,27.35,25.08,25.39,25.31,22.63,22.61,22.61,46.41,0.43,24.15,20.15,,37.57,13.15,14.00,9.28,52.57,6.08,1.98,2.70,21.97,17.50,75.65,,1.46,22.41,54.39,14.90,1.49,3.07,4.39,77.72,8.06,22.38,10.40,41.44,53.41,41.50,,,,,,,,,,,,
India,2001,9.08,14.33,15.56,13.43,12.00,9.48,7.29,18.09,24.94,,69.23,,24.34,0.18,0.17,0.17,0.09,0.06,0.06,0.05,0.02,0.02,32.81,5.79,14.50,5.65,33.86,26.55,3.88,78.91,71.42,16.17,41.14,41.84,59.37,14.50,34.63,37.61,64.75,91.97,2.13,3120.08,0.68,5.10,5.15,0.68,5.11,0.56,39.31,3.29,,,14.04,18.24,32.01,63.85,28.17,23.72,,,14.73,27.42,50.05,23.01,18.42,394.40,471.09,508.95,125.06,122.27,120.86,1.68,0.88,0.78,1500.70,4401.73,7251.48,19.13,2.14,1.91,79.06,28.05,28.37,28.59,22.60,22.31,22.31,15.46,14.72,14.48,29.71,0.31,39.91,35.06,,31.87,40.08,43.86,19.00,32.29,4.76,12.44,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,2001,2.67,10.19,14.00,13.46,12.70,10.32,9.27,18.93,24.12,,68.15,,22.57,0.36,0.18,0.17,0.17,0.07,0.07,0.04,0.02,0.02,7.36,21.23,37.61,11.22,27.65,24.46,4.81,72.33,75.04,14.52,52.66,40.17,55.03,11.24,39.97,31.29,67.58,95.44,2.20,6776.54,0.59,,4.50,0.54,3.73,0.61,41.08,4.56,17.80,12.49,25.75,13.17,,,18.84,41.07,13.20,9.04,9.16,,,13.39,30.22,375.95,436.26,447.55,188.08,213.29,215.86,57.76,54.45,50.53,2256.98,7678.42,12951.55,19.17,2.08,1.87,70.03,26.80,26.90,27.06,26.11,26.09,26.10,25.35,25.22,25.18,,0.35,41.64,40.41,,15.63,29.89,42.24,9.06,40.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,2001,1.64,7.21,11.31,11.60,9.43,8.02,5.77,20.08,18.22,,52.69,,41.08,0.13,0.16,0.18,0.02,0.01,0.02,0.00,0.00,0.00,5.54,2.85,7.05,9.41,42.39,29.16,5.07,70.85,98.18,86.86,70.44,93.05,54.42,50.05,38.88,52.89,95.18,99.26,2.29,7257.83,0.95,5.73,5.84,0.71,3.75,0.71,,26.91,80.65,0.62,,35.13,83.61,7.40,92.70,4.84,46.51,0.37,23.00,46.89,3.39,51.32,2.46,32.76,39.47,45.78,10.00,9.45,9.84,0.00,0.00,0.00,120.05,340.31,590.30,17.78,2.33,2.23,54.85,28.11,28.62,28.72,18.75,18.92,18.93,8.11,8.11,7.61,7.75,0.26,78.08,80.36,23.68,23.01,44.61,6.16,19.10,9.10,3.41,34.13,17.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,2001,22.82,20.53,17.22,13.05,11.22,8.79,6.37,18.81,27.99,78.36,59.88,30.41,29.40,0.15,0.15,0.20,0.07,0.06,0.08,0.04,0.02,0.01,11.63,24.51,57.59,14.51,30.78,25.82,7.18,88.04,18.59,5.22,70.77,18.53,20.80,7.69,76.46,24.76,4.34,37.78,3.77,2520.87,0.75,4.25,4.24,1.03,5.69,0.46,26.68,5.20,1.94,59.75,0.82,29.28,14.50,77.50,26.40,53.60,3.76,57.82,29.87,16.09,75.84,27.14,53.95,272.88,284.60,285.02,105.07,91.34,85.22,8.31,5.08,4.69,1260.87,3288.22,5113.37,19.44,2.71,2.39,96.44,23.78,23.78,23.78,22.07,21.91,21.80,20.23,20.06,19.81,55.13,0.51,21.78,17.06,,58.63,26.29,43.07,31.44,58.36,7.25,10.24,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,2001,20.42,18.13,17.06,14.31,11.98,10.56,7.55,17.88,28.95,74.11,64.80,20.43,24.73,0.09,0.14,0.14,0.07,0.07,0.06,0.00,0.00,0.01,25.40,8.84,49.29,2.58,25.31,23.95,3.75,81.21,12.60,2.08,47.32,9.43,14.87,2.45,52.72,11.76,4.38,42.08,7.29,1381.14,0.96,4.50,4.71,1.18,5.72,0.46,11.44,1.16,4.51,11.65,0.70,17.65,1.71,95.73,5.00,74.04,5.09,11.65,17.68,2.00,97.55,5.69,71.69,375.10,377.62,399.75,104.99,104.85,105.27,15.32,10.62,8.41,1259.92,3774.42,6316.27,19.43,3.17,2.65,74.46,26.14,26.21,26.27,23.69,23.65,23.62,20.42,20.18,19.92,79.58,0.39,15.98,12.15,,32.24,9.80,73.71,4.94,80.63,5.71,2.20,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
